Sample 1
3/25/2021 5:42 PM
Wavelength (nm)	10mm Absorbance
237.0	4.738
237.5	4.740
238.0	4.754
238.5	4.787
239.0	4.834
239.5	4.886
240.0	4.940
240.5	4.990
241.0	5.039
241.5	5.088
242.0	5.143
242.5	5.207
243.0	5.286
243.5	5.384
244.0	5.484
244.5	5.572
245.0	5.651
245.5	5.726
246.0	5.799
246.5	5.871
247.0	5.945
247.5	6.015
248.0	6.081
248.5	6.146
249.0	6.209
249.5	6.265
250.0	6.319
250.5	6.377
251.0	6.439
251.5	6.510
252.0	6.589
252.5	6.666
253.0	6.739
253.5	6.804
254.0	6.867
254.5	6.919
255.0	6.964
255.5	7.006
256.0	7.046
256.5	7.081
257.0	7.113
257.5	7.134
258.0	7.142
258.5	7.146
259.0	7.143
259.5	7.132
260.0	7.118
260.5	7.102
261.0	7.085
261.5	7.061
262.0	7.033
262.5	6.996
263.0	6.952
263.5	6.891
264.0	6.819
264.5	6.729
265.0	6.625
265.5	6.519
266.0	6.415
266.5	6.314
267.0	6.219
267.5	6.124
268.0	6.018
268.5	5.908
269.0	5.808
269.5	5.710
270.0	5.617
270.5	5.525
271.0	5.433
271.5	5.343
272.0	5.251
272.5	5.156
273.0	5.060
273.5	4.965
274.0	4.871
274.5	4.778
275.0	4.682
275.5	4.583
276.0	4.473
276.5	4.357
277.0	4.243
277.5	4.125
278.0	4.004
278.5	3.882
279.0	3.761
279.5	3.641
280.0	3.527
280.5	3.418
281.0	3.306
281.5	3.192
282.0	3.078
282.5	2.968
283.0	2.860
283.5	2.752
284.0	2.650
284.5	2.555
285.0	2.464
285.5	2.374
286.0	2.285
286.5	2.193
287.0	2.097
287.5	2.002
288.0	1.909
288.5	1.823
289.0	1.740
289.5	1.659
290.0	1.578
290.5	1.493
291.0	1.405
291.5	1.317
292.0	1.233
292.5	1.153
293.0	1.078
293.5	1.005
294.0	0.931
294.5	0.861
295.0	0.793
295.5	0.731
296.0	0.675
296.5	0.624
297.0	0.580
297.5	0.538
298.0	0.500
298.5	0.464
299.0	0.429
299.5	0.394
300.0	0.363
300.5	0.335
301.0	0.307
301.5	0.281
302.0	0.253
302.5	0.228
303.0	0.204
303.5	0.183
304.0	0.167
304.5	0.151
305.0	0.137
305.5	0.123
306.0	0.110
306.5	0.098
307.0	0.091
307.5	0.085
308.0	0.079
308.5	0.073
309.0	0.068
309.5	0.065
310.0	0.061
310.5	0.057
311.0	0.054
311.5	0.050
312.0	0.047
312.5	0.044
313.0	0.043
313.5	0.042
314.0	0.042
314.5	0.038
315.0	0.034
315.5	0.030
316.0	0.029
316.5	0.026
317.0	0.020
317.5	0.017
318.0	0.015
318.5	0.015
319.0	0.014
319.5	0.013
320.0	0.013
320.5	0.012
321.0	0.012
321.5	0.010
322.0	0.011
322.5	0.012
323.0	0.013
323.5	0.014
324.0	0.013
324.5	0.014
325.0	0.013
325.5	0.016
326.0	0.015
326.5	0.014
327.0	0.015
327.5	0.015
328.0	0.013
328.5	0.012
329.0	0.012
329.5	0.013
330.0	0.015
330.5	0.014
331.0	0.012
331.5	0.012
332.0	0.013
332.5	0.013
333.0	0.011
333.5	0.010
334.0	0.010
334.5	0.010
335.0	0.010
335.5	0.010
336.0	0.010
336.5	0.007
337.0	0.006
337.5	0.004
338.0	0.004
338.5	0.003
339.0	0.002
339.5	0.001
340.0	0.000
340.5	-0.001
341.0	0.001
341.5	0.001
342.0	0.001
342.5	0.002
343.0	0.003
343.5	0.004
344.0	0.006
344.5	0.006
345.0	0.006
345.5	0.006
346.0	0.007
346.5	0.009
347.0	0.009
347.5	0.009
348.0	0.011
348.5	0.012
349.0	0.012
349.5	0.010
350.0	0.012


Sample 8
3/25/2021 5:46 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	9.505
220.5	9.281
221.0	9.052
221.5	8.815
222.0	8.570
222.5	8.310
223.0	8.045
223.5	7.776
224.0	7.482
224.5	7.170
225.0	6.881
225.5	6.648
226.0	6.468
226.5	6.331
227.0	6.214
227.5	6.107
228.0	6.010
228.5	5.922
229.0	5.839
229.5	5.759
230.0	5.678
230.5	5.594
231.0	5.507
231.5	5.416
232.0	5.318
232.5	5.201
233.0	5.068
233.5	4.927
234.0	4.792
234.5	4.664
235.0	4.544
235.5	4.437
236.0	4.346
236.5	4.274
237.0	4.212
237.5	4.159
238.0	4.117
238.5	4.090
239.0	4.075
239.5	4.072
240.0	4.075
240.5	4.085
241.0	4.098
241.5	4.115
242.0	4.138
242.5	4.170
243.0	4.215
243.5	4.276
244.0	4.340
244.5	4.397
245.0	4.447
245.5	4.495
246.0	4.540
246.5	4.587
247.0	4.634
247.5	4.680
248.0	4.725
248.5	4.771
249.0	4.813
249.5	4.853
250.0	4.891
250.5	4.931
251.0	4.972
251.5	5.020
252.0	5.073
252.5	5.126
253.0	5.177
253.5	5.228
254.0	5.274
254.5	5.313
255.0	5.347
255.5	5.377
256.0	5.402
256.5	5.428
257.0	5.453
257.5	5.467
258.0	5.473
258.5	5.477
259.0	5.474
259.5	5.465
260.0	5.454
260.5	5.441
261.0	5.424
261.5	5.405
262.0	5.382
262.5	5.357
263.0	5.323
263.5	5.280
264.0	5.223
264.5	5.152
265.0	5.070
265.5	4.991
266.0	4.914
266.5	4.841
267.0	4.770
267.5	4.699
268.0	4.617
268.5	4.533
269.0	4.456
269.5	4.382
270.0	4.313
270.5	4.241
271.0	4.172
271.5	4.103
272.0	4.033
272.5	3.962
273.0	3.889
273.5	3.814
274.0	3.741
274.5	3.670
275.0	3.598
275.5	3.522
276.0	3.440
276.5	3.351
277.0	3.263
277.5	3.173
278.0	3.081
278.5	2.988
279.0	2.895
279.5	2.802
280.0	2.716
280.5	2.632
281.0	2.548
281.5	2.462
282.0	2.374
282.5	2.289
283.0	2.206
283.5	2.125
284.0	2.047
284.5	1.974
285.0	1.904
285.5	1.836
286.0	1.767
286.5	1.697
287.0	1.625
287.5	1.550
288.0	1.478
288.5	1.412
289.0	1.349
289.5	1.285
290.0	1.223
290.5	1.159
291.0	1.091
291.5	1.023
292.0	0.960
292.5	0.900
293.0	0.840
293.5	0.784
294.0	0.727
294.5	0.670
295.0	0.618
295.5	0.570
296.0	0.526
296.5	0.486
297.0	0.452
297.5	0.420
298.0	0.390
298.5	0.361
299.0	0.334
299.5	0.307
300.0	0.282
300.5	0.261
301.0	0.239
301.5	0.218
302.0	0.197
302.5	0.179
303.0	0.161
303.5	0.145
304.0	0.132
304.5	0.120
305.0	0.109
305.5	0.098
306.0	0.089
306.5	0.080
307.0	0.074
307.5	0.068
308.0	0.065
308.5	0.062
309.0	0.059
309.5	0.056
310.0	0.052
310.5	0.048
311.0	0.046
311.5	0.043
312.0	0.040
312.5	0.040
313.0	0.039
313.5	0.038
314.0	0.038
314.5	0.034
315.0	0.032
315.5	0.027
316.0	0.024
316.5	0.020
317.0	0.015
317.5	0.015
318.0	0.013
318.5	0.011
319.0	0.010
319.5	0.010
320.0	0.010
320.5	0.008
321.0	0.009
321.5	0.008
322.0	0.008
322.5	0.010
323.0	0.013
323.5	0.014
324.0	0.014
324.5	0.014
325.0	0.014
325.5	0.014
326.0	0.014
326.5	0.015
327.0	0.014
327.5	0.012
328.0	0.011
328.5	0.010
329.0	0.009
329.5	0.010
330.0	0.010
330.5	0.008
331.0	0.006
331.5	0.006
332.0	0.007
332.5	0.007
333.0	0.007
333.5	0.005
334.0	0.007
334.5	0.007
335.0	0.008
335.5	0.007
336.0	0.007
336.5	0.004
337.0	0.004
337.5	0.001
338.0	0.001
338.5	0.001
339.0	0.001
339.5	0.001
340.0	0.000
340.5	-0.001
341.0	0.000
341.5	-0.001
342.0	-0.001
342.5	-0.001
343.0	0.001
343.5	0.002
344.0	0.005
344.5	0.006
345.0	0.006
345.5	0.006
346.0	0.008
346.5	0.009
347.0	0.008
347.5	0.007
348.0	0.010
348.5	0.011
349.0	0.010
349.5	0.010
350.0	0.010


Sample 9
3/25/2021 5:47 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	3.523
220.5	3.414
221.0	3.315
221.5	3.215
222.0	3.121
222.5	3.030
223.0	2.940
223.5	2.852
224.0	2.766
224.5	2.689
225.0	2.625
225.5	2.578
226.0	2.542
226.5	2.515
227.0	2.493
227.5	2.475
228.0	2.459
228.5	2.445
229.0	2.433
229.5	2.422
230.0	2.413
230.5	2.406
231.0	2.400
231.5	2.396
232.0	2.391
232.5	2.384
233.0	2.377
233.5	2.374
234.0	2.375
234.5	2.380
235.0	2.389
235.5	2.405
236.0	2.425
236.5	2.454
237.0	2.487
237.5	2.526
238.0	2.574
238.5	2.634
239.0	2.700
239.5	2.765
240.0	2.824
240.5	2.876
241.0	2.924
241.5	2.968
242.0	3.013
242.5	3.064
243.0	3.127
243.5	3.202
244.0	3.278
244.5	3.343
245.0	3.400
245.5	3.452
246.0	3.502
246.5	3.551
247.0	3.599
247.5	3.645
248.0	3.688
248.5	3.730
249.0	3.771
249.5	3.808
250.0	3.843
250.5	3.879
251.0	3.917
251.5	3.957
252.0	4.002
252.5	4.046
253.0	4.089
253.5	4.131
254.0	4.168
254.5	4.203
255.0	4.232
255.5	4.260
256.0	4.283
256.5	4.303
257.0	4.324
257.5	4.335
258.0	4.338
258.5	4.339
259.0	4.335
259.5	4.328
260.0	4.320
260.5	4.312
261.0	4.300
261.5	4.286
262.0	4.269
262.5	4.247
263.0	4.221
263.5	4.186
264.0	4.143
264.5	4.086
265.0	4.023
265.5	3.963
266.0	3.903
266.5	3.846
267.0	3.792
267.5	3.735
268.0	3.671
268.5	3.606
269.0	3.546
269.5	3.488
270.0	3.434
270.5	3.379
271.0	3.323
271.5	3.270
272.0	3.215
272.5	3.158
273.0	3.099
273.5	3.041
274.0	2.985
274.5	2.928
275.0	2.871
275.5	2.811
276.0	2.744
276.5	2.674
277.0	2.604
277.5	2.533
278.0	2.458
278.5	2.385
279.0	2.309
279.5	2.235
280.0	2.166
280.5	2.098
281.0	2.030
281.5	1.961
282.0	1.891
282.5	1.824
283.0	1.758
283.5	1.692
284.0	1.628
284.5	1.568
285.0	1.511
285.5	1.455
286.0	1.400
286.5	1.343
287.0	1.285
287.5	1.225
288.0	1.167
288.5	1.114
289.0	1.062
289.5	1.011
290.0	0.961
290.5	0.908
291.0	0.852
291.5	0.797
292.0	0.745
292.5	0.698
293.0	0.652
293.5	0.606
294.0	0.559
294.5	0.516
295.0	0.474
295.5	0.437
296.0	0.403
296.5	0.371
297.0	0.344
297.5	0.319
298.0	0.298
298.5	0.276
299.0	0.255
299.5	0.235
300.0	0.216
300.5	0.199
301.0	0.183
301.5	0.168
302.0	0.153
302.5	0.139
303.0	0.125
303.5	0.114
304.0	0.103
304.5	0.094
305.0	0.085
305.5	0.077
306.0	0.071
306.5	0.064
307.0	0.060
307.5	0.056
308.0	0.053
308.5	0.051
309.0	0.049
309.5	0.047
310.0	0.045
310.5	0.042
311.0	0.040
311.5	0.038
312.0	0.036
312.5	0.034
313.0	0.033
313.5	0.033
314.0	0.033
314.5	0.030
315.0	0.028
315.5	0.025
316.0	0.023
316.5	0.020
317.0	0.017
317.5	0.014
318.0	0.011
318.5	0.011
319.0	0.010
319.5	0.010
320.0	0.011
320.5	0.009
321.0	0.008
321.5	0.006
322.0	0.007
322.5	0.009
323.0	0.011
323.5	0.012
324.0	0.012
324.5	0.011
325.0	0.011
325.5	0.013
326.0	0.013
326.5	0.013
327.0	0.013
327.5	0.013
328.0	0.012
328.5	0.011
329.0	0.012
329.5	0.013
330.0	0.015
330.5	0.014
331.0	0.012
331.5	0.013
332.0	0.012
332.5	0.012
333.0	0.011
333.5	0.010
334.0	0.012
334.5	0.012
335.0	0.010
335.5	0.010
336.0	0.009
336.5	0.006
337.0	0.004
337.5	0.002
338.0	0.001
338.5	0.002
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.002
341.0	0.000
341.5	-0.001
342.0	0.000
342.5	0.000
343.0	0.002
343.5	0.003
344.0	0.005
344.5	0.006
345.0	0.006
345.5	0.006
346.0	0.006
346.5	0.006
347.0	0.007
347.5	0.006
348.0	0.010
348.5	0.013
349.0	0.012
349.5	0.011
350.0	0.011


Sample 10
3/25/2021 5:47 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	12.764
220.5	12.486
221.0	12.192
221.5	11.881
222.0	11.554
222.5	11.203
223.0	10.843
223.5	10.464
224.0	10.044
224.5	9.596
225.0	9.174
225.5	8.836
226.0	8.580
226.5	8.376
227.0	8.201
227.5	8.038
228.0	7.889
228.5	7.751
229.0	7.623
229.5	7.495
230.0	7.362
230.5	7.221
231.0	7.076
231.5	6.924
232.0	6.757
232.5	6.560
233.0	6.337
233.5	6.099
234.0	5.871
234.5	5.651
235.0	5.443
235.5	5.252
236.0	5.082
236.5	4.935
237.0	4.804
237.5	4.684
238.0	4.571
238.5	4.471
239.0	4.389
239.5	4.329
240.0	4.286
240.5	4.256
241.0	4.236
241.5	4.224
242.0	4.221
242.5	4.228
243.0	4.246
243.5	4.280
244.0	4.320
244.5	4.356
245.0	4.388
245.5	4.422
246.0	4.453
246.5	4.485
247.0	4.517
247.5	4.550
248.0	4.583
248.5	4.618
249.0	4.654
249.5	4.688
250.0	4.720
250.5	4.754
251.0	4.790
251.5	4.829
252.0	4.871
252.5	4.917
253.0	4.959
253.5	5.000
254.0	5.042
254.5	5.076
255.0	5.106
255.5	5.133
256.0	5.157
256.5	5.179
257.0	5.195
257.5	5.208
258.0	5.211
258.5	5.210
259.0	5.207
259.5	5.198
260.0	5.186
260.5	5.173
261.0	5.159
261.5	5.140
262.0	5.119
262.5	5.093
263.0	5.059
263.5	5.018
264.0	4.965
264.5	4.898
265.0	4.819
265.5	4.742
266.0	4.669
266.5	4.597
267.0	4.530
267.5	4.462
268.0	4.385
268.5	4.307
269.0	4.235
269.5	4.166
270.0	4.100
270.5	4.034
271.0	3.966
271.5	3.900
272.0	3.832
272.5	3.764
273.0	3.695
273.5	3.625
274.0	3.557
274.5	3.488
275.0	3.419
275.5	3.346
276.0	3.267
276.5	3.181
277.0	3.097
277.5	3.011
278.0	2.923
278.5	2.836
279.0	2.749
279.5	2.663
280.0	2.580
280.5	2.500
281.0	2.420
281.5	2.338
282.0	2.256
282.5	2.177
283.0	2.098
283.5	2.022
284.0	1.948
284.5	1.878
285.0	1.811
285.5	1.747
286.0	1.683
286.5	1.616
287.0	1.546
287.5	1.477
288.0	1.410
288.5	1.348
289.0	1.288
289.5	1.228
290.0	1.168
290.5	1.106
291.0	1.041
291.5	0.976
292.0	0.916
292.5	0.861
293.0	0.805
293.5	0.752
294.0	0.698
294.5	0.645
295.0	0.595
295.5	0.549
296.0	0.507
296.5	0.469
297.0	0.436
297.5	0.406
298.0	0.379
298.5	0.352
299.0	0.326
299.5	0.300
300.0	0.275
300.5	0.255
301.0	0.233
301.5	0.213
302.0	0.192
302.5	0.174
303.0	0.157
303.5	0.142
304.0	0.130
304.5	0.119
305.0	0.108
305.5	0.097
306.0	0.089
306.5	0.080
307.0	0.075
307.5	0.071
308.0	0.066
308.5	0.063
309.0	0.060
309.5	0.059
310.0	0.056
310.5	0.053
311.0	0.050
311.5	0.047
312.0	0.045
312.5	0.045
313.0	0.044
313.5	0.043
314.0	0.042
314.5	0.038
315.0	0.036
315.5	0.032
316.0	0.030
316.5	0.026
317.0	0.022
317.5	0.019
318.0	0.017
318.5	0.016
319.0	0.013
319.5	0.011
320.0	0.010
320.5	0.006
321.0	0.005
321.5	0.004
322.0	0.005
322.5	0.006
323.0	0.008
323.5	0.009
324.0	0.010
324.5	0.009
325.0	0.008
325.5	0.009
326.0	0.008
326.5	0.009
327.0	0.010
327.5	0.010
328.0	0.010
328.5	0.009
329.0	0.009
329.5	0.010
330.0	0.011
330.5	0.010
331.0	0.008
331.5	0.008
332.0	0.009
332.5	0.009
333.0	0.010
333.5	0.008
334.0	0.010
334.5	0.010
335.0	0.010
335.5	0.010
336.0	0.010
336.5	0.008
337.0	0.005
337.5	0.004
338.0	0.003
338.5	0.003
339.0	0.001
339.5	0.000
340.0	0.000
340.5	-0.002
341.0	-0.001
341.5	0.000
342.0	0.000
342.5	0.001
343.0	0.002
343.5	0.003
344.0	0.005
344.5	0.006
345.0	0.006
345.5	0.007
346.0	0.007
346.5	0.010
347.0	0.010
347.5	0.010
348.0	0.014
348.5	0.016
349.0	0.015
349.5	0.014
350.0	0.016


Sample 11
3/25/2021 5:47 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	8.430
220.5	8.208
221.0	7.996
221.5	7.776
222.0	7.554
222.5	7.327
223.0	7.105
223.5	6.872
224.0	6.635
224.5	6.394
225.0	6.174
225.5	5.997
226.0	5.863
226.5	5.760
227.0	5.675
227.5	5.599
228.0	5.531
228.5	5.470
229.0	5.413
229.5	5.360
230.0	5.308
230.5	5.256
231.0	5.203
231.5	5.151
232.0	5.093
232.5	5.024
233.0	4.947
233.5	4.867
234.0	4.796
234.5	4.730
235.0	4.673
235.5	4.630
236.0	4.599
236.5	4.584
237.0	4.577
237.5	4.582
238.0	4.601
238.5	4.640
239.0	4.692
239.5	4.749
240.0	4.804
240.5	4.858
241.0	4.907
241.5	4.957
242.0	5.012
242.5	5.077
243.0	5.156
243.5	5.253
244.0	5.353
244.5	5.442
245.0	5.522
245.5	5.597
246.0	5.668
246.5	5.739
247.0	5.810
247.5	5.880
248.0	5.945
248.5	6.010
249.0	6.071
249.5	6.128
250.0	6.182
250.5	6.239
251.0	6.302
251.5	6.372
252.0	6.448
252.5	6.524
253.0	6.594
253.5	6.661
254.0	6.722
254.5	6.775
255.0	6.820
255.5	6.861
256.0	6.898
256.5	6.933
257.0	6.961
257.5	6.977
258.0	6.986
258.5	6.988
259.0	6.983
259.5	6.974
260.0	6.962
260.5	6.946
261.0	6.928
261.5	6.905
262.0	6.877
262.5	6.843
263.0	6.798
263.5	6.741
264.0	6.671
264.5	6.584
265.0	6.483
265.5	6.379
266.0	6.282
266.5	6.188
267.0	6.097
267.5	6.004
268.0	5.900
268.5	5.793
269.0	5.693
269.5	5.602
270.0	5.514
270.5	5.423
271.0	5.333
271.5	5.245
272.0	5.154
272.5	5.061
273.0	4.967
273.5	4.872
274.0	4.779
274.5	4.687
275.0	4.595
275.5	4.497
276.0	4.390
276.5	4.276
277.0	4.163
277.5	4.045
278.0	3.927
278.5	3.809
279.0	3.690
279.5	3.573
280.0	3.463
280.5	3.357
281.0	3.248
281.5	3.137
282.0	3.024
282.5	2.915
283.0	2.808
283.5	2.703
284.0	2.603
284.5	2.509
285.0	2.420
285.5	2.333
286.0	2.245
286.5	2.155
287.0	2.060
287.5	1.965
288.0	1.873
288.5	1.788
289.0	1.705
289.5	1.624
290.0	1.545
290.5	1.462
291.0	1.376
291.5	1.288
292.0	1.205
292.5	1.128
293.0	1.053
293.5	0.981
294.0	0.908
294.5	0.839
295.0	0.772
295.5	0.711
296.0	0.657
296.5	0.607
297.0	0.564
297.5	0.524
298.0	0.488
298.5	0.452
299.0	0.417
299.5	0.384
300.0	0.353
300.5	0.326
301.0	0.299
301.5	0.272
302.0	0.246
302.5	0.222
303.0	0.200
303.5	0.179
304.0	0.162
304.5	0.147
305.0	0.132
305.5	0.118
306.0	0.107
306.5	0.097
307.0	0.089
307.5	0.081
308.0	0.076
308.5	0.070
309.0	0.065
309.5	0.062
310.0	0.058
310.5	0.054
311.0	0.052
311.5	0.049
312.0	0.046
312.5	0.045
313.0	0.044
313.5	0.041
314.0	0.040
314.5	0.036
315.0	0.034
315.5	0.031
316.0	0.030
316.5	0.028
317.0	0.023
317.5	0.020
318.0	0.018
318.5	0.016
319.0	0.014
319.5	0.014
320.0	0.014
320.5	0.012
321.0	0.012
321.5	0.010
322.0	0.011
322.5	0.014
323.0	0.015
323.5	0.015
324.0	0.016
324.5	0.016
325.0	0.016
325.5	0.017
326.0	0.017
326.5	0.017
327.0	0.018
327.5	0.018
328.0	0.017
328.5	0.016
329.0	0.016
329.5	0.017
330.0	0.018
330.5	0.015
331.0	0.014
331.5	0.015
332.0	0.014
332.5	0.011
333.0	0.010
333.5	0.009
334.0	0.009
334.5	0.010
335.0	0.010
335.5	0.009
336.0	0.008
336.5	0.004
337.0	0.003
337.5	0.001
338.0	0.000
338.5	0.000
339.0	-0.001
339.5	-0.001
340.0	0.000
340.5	-0.001
341.0	0.001
341.5	0.000
342.0	0.000
342.5	0.001
343.0	0.003
343.5	0.005
344.0	0.007
344.5	0.008
345.0	0.008
345.5	0.008
346.0	0.009
346.5	0.011
347.0	0.011
347.5	0.011
348.0	0.015
348.5	0.016
349.0	0.016
349.5	0.015
350.0	0.015


Sample 12
3/25/2021 5:48 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	8.575
220.5	8.352
221.0	8.132
221.5	7.904
222.0	7.670
222.5	7.428
223.0	7.186
223.5	6.936
224.0	6.678
224.5	6.407
225.0	6.153
225.5	5.948
226.0	5.789
226.5	5.668
227.0	5.568
227.5	5.481
228.0	5.402
228.5	5.331
229.0	5.264
229.5	5.200
230.0	5.135
230.5	5.070
231.0	5.003
231.5	4.934
232.0	4.858
232.5	4.768
233.0	4.668
233.5	4.564
234.0	4.468
234.5	4.374
235.0	4.287
235.5	4.212
236.0	4.148
236.5	4.103
237.0	4.068
237.5	4.043
238.0	4.029
238.5	4.032
239.0	4.048
239.5	4.072
240.0	4.100
240.5	4.129
241.0	4.160
241.5	4.191
242.0	4.228
242.5	4.272
243.0	4.328
243.5	4.403
244.0	4.481
244.5	4.549
245.0	4.612
245.5	4.672
246.0	4.728
246.5	4.786
247.0	4.843
247.5	4.897
248.0	4.950
248.5	5.001
249.0	5.050
249.5	5.098
250.0	5.143
250.5	5.192
251.0	5.244
251.5	5.301
252.0	5.365
252.5	5.427
253.0	5.486
253.5	5.541
254.0	5.591
254.5	5.635
255.0	5.674
255.5	5.708
256.0	5.741
256.5	5.771
257.0	5.798
257.5	5.815
258.0	5.822
258.5	5.826
259.0	5.825
259.5	5.815
260.0	5.806
260.5	5.793
261.0	5.777
261.5	5.758
262.0	5.735
262.5	5.707
263.0	5.673
263.5	5.626
264.0	5.568
264.5	5.493
265.0	5.409
265.5	5.324
266.0	5.241
266.5	5.162
267.0	5.086
267.5	5.006
268.0	4.917
268.5	4.828
269.0	4.746
269.5	4.667
270.0	4.592
270.5	4.516
271.0	4.441
271.5	4.366
272.0	4.290
272.5	4.211
273.0	4.132
273.5	4.052
274.0	3.974
274.5	3.897
275.0	3.821
275.5	3.741
276.0	3.653
276.5	3.559
277.0	3.466
277.5	3.369
278.0	3.270
278.5	3.171
279.0	3.071
279.5	2.971
280.0	2.878
280.5	2.788
281.0	2.698
281.5	2.605
282.0	2.512
282.5	2.420
283.0	2.330
283.5	2.240
284.0	2.155
284.5	2.076
285.0	2.000
285.5	1.927
286.0	1.852
286.5	1.777
287.0	1.700
287.5	1.622
288.0	1.545
288.5	1.473
289.0	1.406
289.5	1.339
290.0	1.271
290.5	1.200
291.0	1.130
291.5	1.056
292.0	0.986
292.5	0.923
293.0	0.859
293.5	0.800
294.0	0.739
294.5	0.678
295.0	0.621
295.5	0.570
296.0	0.523
296.5	0.480
297.0	0.442
297.5	0.408
298.0	0.377
298.5	0.346
299.0	0.318
299.5	0.291
300.0	0.265
300.5	0.242
301.0	0.218
301.5	0.197
302.0	0.175
302.5	0.157
303.0	0.138
303.5	0.122
304.0	0.108
304.5	0.096
305.0	0.084
305.5	0.073
306.0	0.065
306.5	0.056
307.0	0.048
307.5	0.043
308.0	0.039
308.5	0.036
309.0	0.032
309.5	0.031
310.0	0.028
310.5	0.026
311.0	0.025
311.5	0.022
312.0	0.019
312.5	0.021
313.0	0.021
313.5	0.020
314.0	0.020
314.5	0.019
315.0	0.017
315.5	0.016
316.0	0.014
316.5	0.011
317.0	0.006
317.5	0.005
318.0	0.003
318.5	0.001
319.0	0.000
319.5	0.001
320.0	0.000
320.5	-0.001
321.0	0.000
321.5	-0.003
322.0	-0.002
322.5	-0.001
323.0	0.001
323.5	0.003
324.0	0.004
324.5	0.005
325.0	0.005
325.5	0.006
326.0	0.006
326.5	0.006
327.0	0.006
327.5	0.007
328.0	0.007
328.5	0.005
329.0	0.005
329.5	0.007
330.0	0.009
330.5	0.008
331.0	0.007
331.5	0.008
332.0	0.009
332.5	0.009
333.0	0.008
333.5	0.007
334.0	0.009
334.5	0.009
335.0	0.009
335.5	0.008
336.0	0.007
336.5	0.005
337.0	0.004
337.5	0.002
338.0	0.001
338.5	0.001
339.0	0.001
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	0.001
341.5	0.002
342.0	0.004
342.5	0.005
343.0	0.007
343.5	0.009
344.0	0.012
344.5	0.014
345.0	0.015
345.5	0.016
346.0	0.017
346.5	0.018
347.0	0.019
347.5	0.019
348.0	0.023
348.5	0.025
349.0	0.024
349.5	0.022
350.0	0.023


Sample 13
3/25/2021 5:48 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	-0.158
220.5	-0.149
221.0	-0.147
221.5	-0.148
222.0	-0.142
222.5	-0.138
223.0	-0.135
223.5	-0.134
224.0	-0.136
224.5	-0.137
225.0	-0.134
225.5	-0.133
226.0	-0.132
226.5	-0.131
227.0	-0.125
227.5	-0.121
228.0	-0.117
228.5	-0.115
229.0	-0.113
229.5	-0.111
230.0	-0.109
230.5	-0.108
231.0	-0.107
231.5	-0.104
232.0	-0.101
232.5	-0.099
233.0	-0.096
233.5	-0.091
234.0	-0.085
234.5	-0.085
235.0	-0.084
235.5	-0.085
236.0	-0.086
236.5	-0.085
237.0	-0.087
237.5	-0.088
238.0	-0.088
238.5	-0.090
239.0	-0.090
239.5	-0.091
240.0	-0.090
240.5	-0.086
241.0	-0.085
241.5	-0.085
242.0	-0.084
242.5	-0.083
243.0	-0.084
243.5	-0.084
244.0	-0.084
244.5	-0.082
245.0	-0.080
245.5	-0.078
246.0	-0.075
246.5	-0.074
247.0	-0.073
247.5	-0.072
248.0	-0.072
248.5	-0.072
249.0	-0.072
249.5	-0.072
250.0	-0.071
250.5	-0.070
251.0	-0.068
251.5	-0.065
252.0	-0.063
252.5	-0.063
253.0	-0.064
253.5	-0.065
254.0	-0.064
254.5	-0.064
255.0	-0.063
255.5	-0.063
256.0	-0.061
256.5	-0.058
257.0	-0.057
257.5	-0.057
258.0	-0.055
258.5	-0.055
259.0	-0.054
