seqnames,start,end,width,strand,gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,control_mean_psi,tdp43kd002_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,lsv_junc,ir_start,ir_end,paste_into_igv_junction,junc_dist,strand_start,transcript_id_start,exon_name_start,exon_rank_start,gene_id_start,strand_end,transcript_id_end,exon_name_end,exon_rank_end,gene_id_end,gene_id_junc,junc_in_ref,junc_cat
chr12,46196276,46197720,1445,-,SLC38A1,ENSG00000111371.16,ENSG00000111371.16:t:46195725-46196276,-0.0271,0.04804,0.4629,0.0707,0.0029,"t|1e1.1o1|2e1.1o1|i",3,2,0,ENSG00000111371.16:t:46195725-46196276_46196276-46197720,46196277,46196724,chr12:46196276-46197720,1444,-,ENST00000552197.5|ENST00000612161.4,ENSE00002422534.1|ENSE00003724646.1,17|15,ENSG00000111371.16,-,ENST00000398637.10|ENST00000549049.5|ENST00000439706.5|ENST00000546893.5|ENST00000552197.5|ENST00000612161.4,ENSE00001534097.1,16|15|17|14,ENSG00000111371.16,ENSG00000111371.16,TRUE,annotated
chr12,46196258,46197720,1463,-,SLC38A1,ENSG00000111371.16,ENSG00000111371.16:t:46195725-46196276,-0.0817,0.41,0.09434,0.2256,0.1148,"t|1e1.1o1|2e1.1o1|i",3,2,1,ENSG00000111371.16:t:46195725-46196276_46196258-46197720,,,chr12:46196258-46197720,1462,,,,,,-,ENST00000398637.10|ENST00000549049.5|ENST00000439706.5|ENST00000546893.5|ENST00000552197.5|ENST00000612161.4,ENSE00001534097.1,16|15|17|14,ENSG00000111371.16,ENSG00000111371.16,FALSE,novel_acceptor
chr12,46196277,46196724,448,-,SLC38A1,ENSG00000111371.16,ENSG00000111371.16:t:46195725-46196276,0.1445,0.703,0.02352,0.7112,0.8825,"t|1e1.1o1|2e1.1o1|i",3,2,1,ENSG00000111371.16:t:46195725-46196276_46196277-46196724,,,chr12:46196277-46196724,447,,,,,,,,,,,,FALSE,none
chr6,116571655,116572422,768,+,RWDD1,ENSG00000111832.13,ENSG00000111832.13:s:116571409-116571655,0,6.446e-21,1,0.0115,0.0045,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1",4,5,0,ENSG00000111832.13:s:116571409-116571655_116571655-116572422,,,chr6:116571655-116572422,767,+,ENST00000368590.9|ENST00000487832.6|ENST00000466444.7|ENST00000517800.5|ENST00000518117.5,ENSE00002128483.1|ENSE00002126292.1|ENSE00002132190.2|ENSE00002091182.1|ENSE00002134158.1,1,ENSG00000111832.13,+,ENST00000518117.5,ENSE00002132299.1,2,ENSG00000111832.13,ENSG00000111832.13,TRUE,annotated
chr6,116571655,116572858,1204,+,RWDD1,ENSG00000111832.13,ENSG00000111832.13:s:116571409-116571655,0.1153,0.6487,0.02849,0.1323,0.2495,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1",4,5,0,ENSG00000111832.13:s:116571409-116571655_116571655-116572858,,,chr6:116571655-116572858,1203,+,ENST00000368590.9|ENST00000487832.6|ENST00000466444.7|ENST00000517800.5|ENST00000518117.5,ENSE00002128483.1|ENSE00002126292.1|ENSE00002132190.2|ENSE00002091182.1|ENSE00002134158.1,1,ENSG00000111832.13,+,ENST00000368590.9|ENST00000517800.5,ENSE00001512285.1,2,ENSG00000111832.13,ENSG00000111832.13,TRUE,annotated
chr6,116571655,116574058,2404,+,RWDD1,ENSG00000111832.13,ENSG00000111832.13:s:116571409-116571655,-0.0493,0.009977,0.4658,0.1238,0.0657,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1",4,5,0,ENSG00000111832.13:s:116571409-116571655_116571655-116574058,,,chr6:116571655-116574058,2403,+,ENST00000368590.9|ENST00000487832.6|ENST00000466444.7|ENST00000517800.5|ENST00000518117.5,ENSE00002128483.1|ENSE00002126292.1|ENSE00002132190.2|ENSE00002091182.1|ENSE00002134158.1,1,ENSG00000111832.13,+,ENST00000368590.9|ENST00000487832.6,ENSE00001512284.1,3|2,ENSG00000111832.13,ENSG00000111832.13,TRUE,annotated
chr6,116571655,116580295,8641,+,RWDD1,ENSG00000111832.13,ENSG00000111832.13:s:116571409-116571655,-0.0366,0.05075,0.4307,0.7339,0.6789,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1",4,5,0,ENSG00000111832.13:s:116571409-116571655_116571655-116580295,,,chr6:116571655-116580295,8640,+,ENST00000368590.9|ENST00000487832.6|ENST00000466444.7|ENST00000517800.5|ENST00000518117.5,ENSE00002128483.1|ENSE00002126292.1|ENSE00002132190.2|ENSE00002091182.1|ENSE00002134158.1,1,ENSG00000111832.13,+,ENST00000368590.9|ENST00000487832.6|ENST00000466444.7|ENST00000517800.5|ENST00000518117.5,ENSE00003514465.1|ENSE00003509512.1,4|3|2,ENSG00000111832.13,ENSG00000111832.13,TRUE,annotated
chr6,116571655,116574058,2404,+,RWDD1,ENSG00000111832.13,ENSG00000111832.13:t:116574058-116574171,-0.1934,0.9845,4.203e-05,0.3524,0.1536,"t|1e1.1o1|1e2.1o1",2,3,0,ENSG00000111832.13:t:116574058-116574171_116571655-116574058,,,chr6:116571655-116574058,2403,+,ENST00000368590.9|ENST00000487832.6|ENST00000466444.7|ENST00000517800.5|ENST00000518117.5,ENSE00002128483.1|ENSE00002126292.1|ENSE00002132190.2|ENSE00002091182.1|ENSE00002134158.1,1,ENSG00000111832.13,+,ENST00000368590.9|ENST00000487832.6,ENSE00001512284.1,3|2,ENSG00000111832.13,ENSG00000111832.13,TRUE,annotated
chr6,116572985,116574058,1074,+,RWDD1,ENSG00000111832.13,ENSG00000111832.13:t:116574058-116574171,0.1934,0.9845,4.203e-05,0.6476,0.8464,"t|1e1.1o1|1e2.1o1",2,3,0,ENSG00000111832.13:t:116574058-116574171_116572985-116574058,,,chr6:116572985-116574058,1073,+,ENST00000368590.9|ENST00000517800.5,ENSE00001512285.1,2,ENSG00000111832.13,+,ENST00000368590.9|ENST00000487832.6,ENSE00001512284.1,3|2,ENSG00000111832.13,ENSG00000111832.13,TRUE,annotated
chr6,118932740,118934891,2152,-,MCM9,ENSG00000111877.18,ENSG00000111877.18:s:118934891-118935162,-0.1011,0.469,0.0598,0.7409,0.6069,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000111877.18:s:118934891-118935162_118932740-118934891,,,chr6:118932740-118934891,2151,-,ENST00000619706.5|ENST00000425154.6|ENST00000505446.1,ENSE00001774313.1,2,ENSG00000111877.18,-,ENST00000316316.10|ENST00000619706.5|ENST00000316068.7|ENST00000425154.6,ENSE00002068426.1|ENSE00003914689.1|ENSE00001663848.1|ENSE00001737647.1,1,ENSG00000111877.18,ENSG00000111877.18,TRUE,annotated
chr6,118931738,118934891,3154,-,MCM9,ENSG00000111877.18,ENSG00000111877.18:s:118934891-118935162,0.1011,0.469,0.0598,0.2591,0.3931,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000111877.18:s:118934891-118935162_118931738-118934891,,,chr6:118931738-118934891,3153,-,ENST00000316316.10|ENST00000619706.5|ENST00000316068.7|ENST00000425154.6|ENST00000505446.1,ENSE00002046152.1|ENSE00002066084.1,2|3,ENSG00000111877.18,-,ENST00000316316.10|ENST00000619706.5|ENST00000316068.7|ENST00000425154.6,ENSE00002068426.1|ENSE00003914689.1|ENSE00001663848.1|ENSE00001737647.1,1,ENSG00000111877.18,ENSG00000111877.18,TRUE,annotated
chr6,35347150,35348363,1214,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,-0.0026,0.01296,0.632,0.0594,0.0541,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,1,ENSG00000112033.14:s:35347067-35347150_35347150-35348363,,,chr6:35347150-35348363,1213,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,,,,,,ENSG00000112033.14,FALSE,novel_acceptor
chr6,35347150,35352929,5780,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,-0.0542,0.248,0.1887,0.1801,0.101,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,1,ENSG00000112033.14:s:35347067-35347150_35347150-35352929,,,chr6:35347150-35352929,5779,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,,,,,,ENSG00000112033.14,FALSE,novel_acceptor
chr6,35347150,35356229,9080,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,-0.0058,0.0009595,0.7948,0.043,0.013,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,1,ENSG00000112033.14:s:35347067-35347150_35347150-35356229,,,chr6:35347150-35356229,9079,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,,,,,,ENSG00000112033.14,FALSE,novel_acceptor
chr6,35347150,35383577,36428,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,-0.0199,0.04516,0.4818,0.0808,0.05,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,1,ENSG00000112033.14:s:35347067-35347150_35347150-35383577,,,chr6:35347150-35383577,36427,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,,,,,,ENSG00000112033.14,FALSE,novel_acceptor
chr6,35347150,35397498,50349,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,0,1.052e-07,0.9989,0.0064,9e-04,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,0,ENSG00000112033.14:s:35347067-35347150_35347150-35397498,,,chr6:35347150-35397498,50348,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,+,ENST00000337400.6|ENST00000311565.4,ENSE00001343042.1,3,ENSG00000112033.14,ENSG00000112033.14,TRUE,annotated
chr6,35347150,35410987,63838,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,0.1226,0.6104,0.04158,0.6211,0.7832,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,0,ENSG00000112033.14:s:35347067-35347150_35347150-35410987,,,chr6:35347150-35410987,63837,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,+,ENST00000360694.8|ENST00000418635.6|ENST00000337400.6|ENST00000311565.4,ENSE00003892736.1,3|4,ENSG00000112033.14,ENSG00000112033.14,TRUE,annotated
chr6,35347150,35420127,72978,+,PPARD,ENSG00000112033.14,ENSG00000112033.14:s:35347067-35347150,0,6.446e-21,1,9e-04,9e-04,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1",7,8,0,ENSG00000112033.14:s:35347067-35347150_35347150-35420127,,,chr6:35347150-35420127,72977,+,ENST00000360694.8|ENST00000418635.6|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003559469.1|ENSE00003617801.1,2,ENSG00000112033.14,+,ENST00000360694.8|ENST00000448077.6|ENST00000337400.6|ENST00000311565.4,ENSE00003895445.1,4|3|5,ENSG00000112033.14,ENSG00000112033.14,TRUE,annotated
chr12,132508350,132509166,817,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:s:132508153-132508350,-0.1419,0.7619,0.01888,0.5358,0.3865,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000112787.14:s:132508153-132508350_132508350-132509166,,,chr12:132508350-132509166,816,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1|ENST00000542061.2,ENSE00001781255.1|ENSE00002305073.1,2|3,ENSG00000112787.14,+,ENST00000542061.2,ENSE00002211704.2,4,ENSG00000112787.14,ENSG00000112787.14,TRUE,annotated
chr12,132508350,132525734,17385,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:s:132508153-132508350,0.1419,0.7619,0.01888,0.4642,0.6135,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000112787.14:s:132508153-132508350_132508350-132525734,,,chr12:132508350-132525734,17384,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1|ENST00000542061.2,ENSE00001781255.1|ENSE00002305073.1,2|3,ENSG00000112787.14,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1,ENSE00001707018.1,3,ENSG00000112787.14,ENSG00000112787.14,TRUE,annotated
chr12,132570241,132570335,95,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:s:132569926-132570241,-0.159,0.7468,0.01808,0.5923,0.4006,"s|1e1.1o2|1e1.2o2",2,2,0,ENSG00000112787.14:s:132569926-132570241_132570241-132570335,,,chr12:132570241-132570335,94,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1,ENSE00001705919.1,7,ENSG00000112787.14,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1,ENSE00000798053.3,8,ENSG00000112787.14,ENSG00000112787.14,TRUE,annotated
chr12,132570241,132570338,98,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:s:132569926-132570241,0.159,0.7468,0.01808,0.4077,0.5994,"s|1e1.1o2|1e1.2o2",2,2,1,ENSG00000112787.14:s:132569926-132570241_132570241-132570338,,,chr12:132570241-132570338,97,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1,ENSE00001705919.1,7,ENSG00000112787.14,,,,,,ENSG00000112787.14,FALSE,novel_acceptor
chr12,132548032,132567481,19450,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:t:132567481-132567526,0.0957,0.4733,0.07128,0.5335,0.664,"t|1e1.1o1|1e2.1o1|i",3,3,0,ENSG00000112787.14:t:132567481-132567526_132548032-132567481,132560231,132567480,chr12:132548032-132567481,19449,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1,ENSE00001683027.1,5,ENSG00000112787.14,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1|ENST00000539264.5|ENST00000543360.1,ENSE00003663950.1|ENSE00003476802.1,6|2,ENSG00000112787.14,ENSG00000112787.14,TRUE,annotated
chr12,132560230,132567481,7252,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:t:132567481-132567526,-0.1198,0.586,0.04211,0.4566,0.2991,"t|1e1.1o1|1e2.1o1|i",3,3,0,ENSG00000112787.14:t:132567481-132567526_132560230-132567481,,,chr12:132560230-132567481,7251,+,ENST00000539264.5|ENST00000543360.1,ENSE00002272686.1|ENSE00002271076.1,1,ENSG00000112787.14,+,ENST00000434748.2|ENST00000650108.1|ENST00000680143.1|ENST00000539264.5|ENST00000543360.1,ENSE00003663950.1|ENSE00003476802.1,6|2,ENSG00000112787.14,ENSG00000112787.14,TRUE,annotated
chr12,132560231,132567480,7250,+,FBRSL1,ENSG00000112787.14,ENSG00000112787.14:t:132567481-132567526,0.0038,0.000373,0.8459,0.0163,0.0382,"t|1e1.1o1|1e2.1o1|i",3,3,1,ENSG00000112787.14:t:132567481-132567526_132560231-132567480,,,chr12:132560231-132567480,7249,,,,,,,,,,,,FALSE,none
chr5,640604,644299,3696,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:s:640408-640604,-0.1146,0.5221,0.04709,0.6,0.4451,"s|1e1.1o1|i",2,2,0,ENSG00000112877.8:s:640408-640604_640604-644299,640605,641905,chr5:640604-644299,3695,+,ENST00000264935.6,ENSE00003556071.1,9,ENSG00000112877.8,+,ENST00000264935.6,ENSE00003612730.1,10,ENSG00000112877.8,ENSG00000112877.8,TRUE,annotated
chr5,640605,641905,1301,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:s:640408-640604,0.1146,0.5221,0.04709,0.4,0.5549,"s|1e1.1o1|i",2,2,1,ENSG00000112877.8:s:640408-640604_640605-641905,,,chr5:640605-641905,1300,,,,,,,,,,,,FALSE,none
chr5,647916,648100,185,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:s:647805-647916,0.5942,1,2.345e-14,0.0271,0.6185,"s|1e1.1o1|1e2.1o1",2,3,1,ENSG00000112877.8:s:647805-647916_647916-648100,,,chr5:647916-648100,184,+,ENST00000264935.6|ENST00000512038.1,ENSE00003596762.1|ENSE00003608518.1,11|2,ENSG00000112877.8,,,,,,ENSG00000112877.8,FALSE,novel_acceptor
chr5,647916,652988,5073,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:s:647805-647916,-0.5942,1,7.661e-15,0.9729,0.3815,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000112877.8:s:647805-647916_647916-652988,,,chr5:647916-652988,5072,+,ENST00000264935.6|ENST00000512038.1,ENSE00003596762.1|ENSE00003608518.1,11|2,ENSG00000112877.8,+,ENST00000264935.6|ENST00000512038.1,ENSE00001718632.2|ENSE00002026869.1,12|3,ENSG00000112877.8,ENSG00000112877.8,TRUE,annotated
chr5,641867,641906,40,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:t:641906-641943,0.1401,0.6277,0.02873,0.3072,0.5021,"t|1e1.1o1|i",2,2,1,ENSG00000112877.8:t:641906-641943_641867-641906,640605,641905,chr5:641867-641906,39,,,,,,,,,,,,FALSE,none
chr5,640605,641905,1301,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:t:641906-641943,-0.1401,0.6277,0.02873,0.6928,0.4979,"t|1e1.1o1|i",2,2,1,ENSG00000112877.8:t:641906-641943_640605-641905,,,chr5:640605-641905,1300,,,,,,,,,,,,FALSE,none
chr5,647916,652988,5073,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:t:652988-653553,-0.5673,1,2.961e-11,0.9226,0.3643,"t|1e1.1o1|1e2.1o1|1e3.1o1",3,4,0,ENSG00000112877.8:t:652988-653553_647916-652988,,,chr5:647916-652988,5072,+,ENST00000264935.6|ENST00000512038.1,ENSE00003596762.1|ENSE00003608518.1,11|2,ENSG00000112877.8,+,ENST00000264935.6|ENST00000512038.1,ENSE00001718632.2|ENSE00002026869.1,12|3,ENSG00000112877.8,ENSG00000112877.8,TRUE,annotated
chr5,648223,652988,4766,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:t:652988-653553,0.3158,0.9933,0.0001048,0.0423,0.3605,"t|1e1.1o1|1e2.1o1|1e3.1o1",3,4,1,ENSG00000112877.8:t:652988-653553_648223-652988,,,chr5:648223-652988,4765,,,,,,+,ENST00000264935.6|ENST00000512038.1,ENSE00001718632.2|ENSE00002026869.1,12|3,ENSG00000112877.8,ENSG00000112877.8,FALSE,novel_donor
chr5,648986,652988,4003,+,CEP72,ENSG00000112877.8,ENSG00000112877.8:t:652988-653553,0.2167,0.9564,0.001055,0.038,0.2739,"t|1e1.1o1|1e2.1o1|1e3.1o1",3,4,1,ENSG00000112877.8:t:652988-653553_648986-652988,,,chr5:648986-652988,4002,,,,,,+,ENST00000264935.6|ENST00000512038.1,ENSE00001718632.2|ENSE00002026869.1,12|3,ENSG00000112877.8,ENSG00000112877.8,FALSE,novel_donor
chr5,80654964,80656411,1448,+,MSH3,ENSG00000113318.11,ENSG00000113318.11:t:80656411-80656531,-0.1214,0.5676,0.04412,0.894,0.7358,"t|1e1.1o1|1e2.1o2|1e2.2o2",3,3,0,ENSG00000113318.11:t:80656411-80656531_80654964-80656411,,,chr5:80654964-80656411,1447,+,ENST00000670357.1|ENST00000265081.7|ENST00000667069.1,ENSE00001244866.6|ENSE00003857665.1,1,ENSG00000113318.11,+,ENST00000670357.1|ENST00000265081.7|ENST00000667069.1|ENST00000512531.1|ENST00000658259.1,ENSE00001191598.1|ENSE00002057874.1,2,ENSG00000113318.11,ENSG00000113318.11,TRUE,annotated
chr5,80655262,80656411,1150,+,MSH3,ENSG00000113318.11,ENSG00000113318.11:t:80656411-80656531,0.0806,0.3597,0.1113,0.0528,0.1365,"t|1e1.1o1|1e2.1o2|1e2.2o2",3,3,0,ENSG00000113318.11:t:80656411-80656531_80655262-80656411,,,chr5:80655262-80656411,1149,+,ENST00000658259.1,ENSE00003863893.1,1,ENSG00000113318.11,+,ENST00000670357.1|ENST00000265081.7|ENST00000667069.1|ENST00000512531.1|ENST00000658259.1,ENSE00001191598.1|ENSE00002057874.1,2,ENSG00000113318.11,ENSG00000113318.11,TRUE,annotated
chr5,80655579,80656411,833,+,MSH3,ENSG00000113318.11,ENSG00000113318.11:t:80656411-80656531,0.0317,0.146,0.2906,0.0578,0.0945,"t|1e1.1o1|1e2.1o2|1e2.2o2",3,3,0,ENSG00000113318.11:t:80656411-80656531_80655579-80656411,,,chr5:80655579-80656411,832,+,ENST00000512531.1,ENSE00002069420.1,1,ENSG00000113318.11,+,ENST00000670357.1|ENST00000265081.7|ENST00000667069.1|ENST00000512531.1|ENST00000658259.1,ENSE00001191598.1|ENSE00002057874.1,2,ENSG00000113318.11,ENSG00000113318.11,TRUE,annotated
chr5,59038971,59586329,547359,-,PDE4D,ENSG00000113448.19,ENSG00000113448.19:t:59038859-59038971,0,5.606e-09,0.9999,0.0014,0.0015,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1",5,6,0,ENSG00000113448.19:t:59038859-59038971_59038971-59586329,,,chr5:59038971-59586329,547358,-,ENST00000340635.11|ENST00000546160.5|ENST00000636120.1|ENST00000360047.9|ENST00000507116.5|ENST00000358923.10|ENST00000503258.5|ENST00000405755.6|ENST00000502484.6|ENST00000505453.1|ENST00000309641.10,ENSE00003674506.1|ENSE00003647954.1|ENSE00003537005.1,6|7|2|8,ENSG00000113448.19,-,ENST00000360047.9|ENST00000505453.1,ENSE00002072802.1|ENSE00002074755.1,1,ENSG00000113448.19,ENSG00000113448.19,TRUE,annotated
chr5,59038971,59180595,141625,-,PDE4D,ENSG00000113448.19,ENSG00000113448.19:t:59038859-59038971,0.1733,0.828,0.0103,0.6617,0.8572,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1",5,6,0,ENSG00000113448.19:t:59038859-59038971_59038971-59180595,,,chr5:59038971-59180595,141624,-,ENST00000340635.11|ENST00000546160.5|ENST00000636120.1|ENST00000360047.9|ENST00000507116.5|ENST00000358923.10|ENST00000503258.5|ENST00000405755.6|ENST00000502484.6|ENST00000505453.1|ENST00000309641.10,ENSE00003674506.1|ENSE00003647954.1|ENSE00003537005.1,6|7|2|8,ENSG00000113448.19,-,ENST00000340635.11|ENST00000546160.5|ENST00000636120.1|ENST00000360047.9|ENST00000507116.5|ENST00000503258.5|ENST00000405755.6|ENST00000502484.6|ENST00000309641.10|ENST00000405053.7|ENST00000502575.1|ENST00000621323.4|ENST00000515324.1,ENSE00003521505.1|ENSE00003638973.1,5|6|7|4,ENSG00000113448.19,ENSG00000113448.19,TRUE,annotated
chr5,59038971,59125236,86266,-,PDE4D,ENSG00000113448.19,ENSG00000113448.19:t:59038859-59038971,-0.1068,0.5603,0.0595,0.1572,0.0306,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1",5,6,1,ENSG00000113448.19:t:59038859-59038971_59038971-59125236,,,chr5:59038971-59125236,86265,-,ENST00000340635.11|ENST00000546160.5|ENST00000636120.1|ENST00000360047.9|ENST00000507116.5|ENST00000358923.10|ENST00000503258.5|ENST00000405755.6|ENST00000502484.6|ENST00000505453.1|ENST00000309641.10,ENSE00003674506.1|ENSE00003647954.1|ENSE00003537005.1,6|7|2|8,ENSG00000113448.19,,,,,,ENSG00000113448.19,FALSE,novel_donor
chr5,59038971,59091082,52112,-,PDE4D,ENSG00000113448.19,ENSG00000113448.19:t:59038859-59038971,0,5.606e-09,0.9999,0.0014,0.0015,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1",5,6,0,ENSG00000113448.19:t:59038859-59038971_59038971-59091082,,,chr5:59038971-59091082,52111,-,ENST00000340635.11|ENST00000546160.5|ENST00000636120.1|ENST00000360047.9|ENST00000507116.5|ENST00000358923.10|ENST00000503258.5|ENST00000405755.6|ENST00000502484.6|ENST00000505453.1|ENST00000309641.10,ENSE00003674506.1|ENSE00003647954.1|ENSE00003537005.1,6|7|2|8,ENSG00000113448.19,-,ENST00000309641.10,ENSE00002064368.1,6,ENSG00000113448.19,ENSG00000113448.19,TRUE,annotated
chr5,59038971,59039058,88,-,PDE4D,ENSG00000113448.19,ENSG00000113448.19:t:59038859-59038971,-0.0449,0.1854,0.2443,0.1759,0.1001,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1",5,6,0,ENSG00000113448.19:t:59038859-59038971_59038971-59039058,,,chr5:59038971-59039058,87,-,ENST00000340635.11|ENST00000546160.5|ENST00000636120.1|ENST00000360047.9|ENST00000507116.5|ENST00000358923.10|ENST00000503258.5|ENST00000405755.6|ENST00000502484.6|ENST00000505453.1|ENST00000309641.10,ENSE00003674506.1|ENSE00003647954.1|ENSE00003537005.1,6|7|2|8,ENSG00000113448.19,-,ENST00000358923.10,ENSE00002060384.1,1,ENSG00000113448.19,ENSG00000113448.19,TRUE,annotated
chr5,142012041,142012995,955,-,GNPDA1,ENSG00000113552.16,ENSG00000113552.16:t:142011849-142012041,0.1272,0.6124,0.03773,0.5496,0.7133,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1",4,5,0,ENSG00000113552.16:t:142011849-142012041_142012041-142012995,,,chr5:142012041-142012995,954,-,ENST00000513454.5|ENST00000311337.11|ENST00000500692.6|ENST00000503794.5|ENST00000504139.5|ENST00000505689.5|ENST00000510194.5|ENST00000503229.5|ENST00000507107.1|ENST00000504424.1,ENSE00003572009.1|ENSE00002084721.1|ENSE00003466468.1|ENSE00002049325.1,2|3,ENSG00000113552.16,-,ENST00000513454.5|ENST00000311337.11|ENST00000500692.6|ENST00000504139.5|ENST00000505689.5|ENST00000503229.5|ENST00000507107.1,ENSE00002026826.1|ENSE00002041108.1|ENSE00001912150.1|ENSE00002027692.1,1,ENSG00000113552.16,ENSG00000113552.16,TRUE,annotated
chr5,142012041,142012915,875,-,GNPDA1,ENSG00000113552.16,ENSG00000113552.16:t:142011849-142012041,0,6.446e-21,1,0.0015,0.0014,"t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1",4,5,0,ENSG00000113552.16:t:142011849-142012041_142012041-142012915,,,chr5:142012041-142012915,874,-,ENST00000513454.5|ENST00000311337.11|ENST00000500692.6|ENST00000503794.5|ENST00000504139.5|ENST00000505689.5|ENST00000510194.5|ENST00000503229.5|ENST00000507107.1|ENST00000504424.1,ENSE00003572009.1|ENSE00002084721.1|ENSE00003466468.1|ENSE00002049325.1,2|3,ENSG00000113552.16,-,ENST00000510194.5,ENSE00002069736.1,1,ENSG00000113552.16,ENSG00000113552.16,TRUE,annotated
